Sample in Buffer,Sample in Window,TRIGGER,Axi_Mig_ctrl/Rd_Rst_Sync
737,737,0,1
738,738,0,1
739,739,0,1
740,740,0,1
741,741,0,1
742,742,0,1
743,743,0,1
744,744,0,1
745,745,0,1
746,746,0,1
747,747,0,1
748,748,0,1
749,749,0,1
750,750,0,1
751,751,0,1
752,752,0,1
753,753,0,1
754,754,0,1
755,755,0,1
756,756,0,1
757,757,0,1
758,758,0,1
759,759,0,1
760,760,0,1
761,761,0,1
762,762,0,1
763,763,0,1
764,764,0,1
765,765,0,1
766,766,0,1
767,767,0,1
768,768,0,1
769,769,0,1
770,770,0,1
771,771,0,1
772,772,0,1
773,773,0,1
774,774,0,1
775,775,0,1
776,776,0,1
777,777,0,1
778,778,0,1
779,779,0,1
780,780,0,1
781,781,0,1
782,782,0,1
783,783,0,1
784,784,0,1
785,785,0,1
786,786,0,1
787,787,0,1
788,788,0,1
789,789,0,1
790,790,0,1
791,791,0,1
792,792,0,1
793,793,0,1
794,794,0,1
795,795,0,1
796,796,0,1
797,797,0,1
798,798,0,1
799,799,0,1
800,800,0,1
801,801,0,1
802,802,0,1
803,803,0,1
804,804,0,1
805,805,0,1
806,806,0,1
807,807,0,1
808,808,0,1
809,809,0,1
810,810,0,1
811,811,0,1
812,812,0,1
813,813,0,1
814,814,0,1
815,815,0,1
816,816,0,1
817,817,0,1
818,818,0,1
819,819,0,1
820,820,0,1
821,821,0,1
822,822,0,1
823,823,0,1
824,824,0,1
825,825,0,1
826,826,0,1
827,827,0,1
828,828,0,1
829,829,0,1
830,830,0,1
831,831,0,1
832,832,0,1
833,833,0,1
834,834,0,1
835,835,0,1
836,836,0,1
837,837,0,1
838,838,0,1
839,839,0,1
840,840,0,1
841,841,0,1
842,842,0,1
843,843,0,1
844,844,0,1
845,845,0,1
846,846,0,1
847,847,0,1
848,848,0,1
849,849,0,1
850,850,0,1
851,851,0,1
852,852,0,1
853,853,0,1
854,854,0,1
855,855,0,1
856,856,0,1
857,857,0,1
858,858,0,1
859,859,0,1
860,860,0,1
861,861,0,1
862,862,0,1
863,863,0,1
864,864,0,1
865,865,0,1
866,866,0,1
867,867,0,1
868,868,0,1
869,869,0,1
870,870,0,1
871,871,0,1
872,872,0,1
873,873,0,1
874,874,0,1
875,875,0,1
876,876,0,1
877,877,0,1
878,878,0,1
879,879,0,1
880,880,0,1
881,881,0,1
882,882,0,1
883,883,0,1
884,884,0,1
885,885,0,1
886,886,0,1
887,887,0,1
888,888,0,1
889,889,0,1
890,890,0,1
891,891,0,1
892,892,0,1
893,893,0,1
894,894,0,1
895,895,0,1
896,896,0,1
897,897,0,1
898,898,0,1
899,899,0,1
900,900,0,1
901,901,0,1
902,902,0,1
903,903,0,1
904,904,0,1
905,905,0,1
906,906,0,1
907,907,0,1
908,908,0,1
909,909,0,1
910,910,0,1
911,911,0,1
912,912,0,1
913,913,0,1
914,914,0,1
915,915,0,1
916,916,0,1
917,917,0,1
918,918,0,1
919,919,0,1
920,920,0,1
921,921,0,1
922,922,0,1
923,923,0,1
924,924,0,1
925,925,0,1
926,926,0,1
927,927,0,1
928,928,0,1
929,929,0,1
930,930,0,1
931,931,0,1
932,932,0,1
933,933,0,1
934,934,0,1
935,935,0,1
936,936,0,1
937,937,0,1
938,938,0,1
939,939,0,1
940,940,0,1
941,941,0,1
942,942,0,1
943,943,0,1
944,944,0,1
945,945,0,1
946,946,0,1
947,947,0,1
948,948,0,1
949,949,0,1
950,950,0,1
951,951,0,1
952,952,0,1
953,953,0,1
954,954,0,1
955,955,0,1
956,956,0,1
957,957,0,1
958,958,0,1
959,959,0,1
960,960,0,1
961,961,0,1
962,962,0,1
963,963,0,1
964,964,0,1
965,965,0,1
966,966,0,1
967,967,0,1
968,968,0,1
969,969,0,1
970,970,0,1
971,971,0,1
972,972,0,1
973,973,0,1
974,974,0,1
975,975,0,1
976,976,0,1
977,977,0,1
978,978,0,1
979,979,0,1
980,980,0,1
981,981,0,1
982,982,0,1
983,983,0,1
984,984,0,1
985,985,0,1
986,986,0,1
987,987,0,1
988,988,0,1
989,989,0,1
990,990,0,1
991,991,0,1
992,992,0,1
993,993,0,1
994,994,0,1
995,995,0,1
996,996,0,1
997,997,0,1
998,998,0,1
999,999,0,1
1000,1000,0,1
1001,1001,0,1
1002,1002,0,1
1003,1003,0,1
1004,1004,0,1
1005,1005,0,1
1006,1006,0,1
1007,1007,0,1
1008,1008,0,1
1009,1009,0,1
1010,1010,0,1
1011,1011,0,1
1012,1012,0,1
1013,1013,0,1
1014,1014,0,1
1015,1015,0,1
1016,1016,0,1
1017,1017,0,1
1018,1018,0,1
1019,1019,0,1
1020,1020,0,1
1021,1021,0,1
1022,1022,0,1
1023,1023,0,1
